region_id,land_cover_total_area_m2,forest_area_m2,farmland_area_m2,forest_ratio,farmland_ratio,forest_ratio_source_type,farmland_ratio_source_type,forest_ratio_missing_reason,farmland_ratio_missing_reason,land_cover_match_method,land_cover_source_regions,land_cover_source_period,land_cover_source_name
11110,23990643.009999998,10240264.780000001,78823.54000000001,0.42684411483808754,0.0032855951367015907,static_reference,static_reference,,,direct,"[{""province_name"": ""서울특별시"", ""region_name"": ""종로구"", ""weight"": 1.0}]",2024,2025년(2024년 기준) 국가토지피복통계 토지피복지도현황
11140,9990180.9,1132798.35,5298.71,0.11339117492857412,0.0005303917970094015,static_reference,static_reference,,,direct,"[{""province_name"": ""서울특별시"", ""region_name"": ""중구"", ""weight"": 1.0}]",2024,2025년(2024년 기준) 국가토지피복통계 토지피복지도현황
11170,21892570.490000002,4647079.170000001,14611.840000000002,0.21226740697821092,0.0006674337308482957,static_reference,static_reference,,,direct,"[{""province_name"": ""서울특별시"", ""region_name"": ""용산구"", ""weight"": 1.0}]",2024,2025년(2024년 기준) 국가토지피복통계 토지피복지도현황
11200,16817152.709999997,603112.4799999999,17948.19,0.03586293651489355,0.0010672549812387356,static_reference,static_reference,,,direct,"[{""province_name"": ""서울특별시"", ""region_name"": ""성동구"", ""weight"": 1.0}]",2024,2025년(2024년 기준) 국가토지피복통계 토지피복지도현황
11215,17049029.6,2280540.19,21759.229999999996,0.13376363602536062,0.0012762738120884014,static_reference,static_reference,,,direct,"[{""province_name"": ""서울특별시"", ""region_name"": ""광진구"", ""weight"": 1.0}]",2024,2025년(2024년 기준) 국가토지피복통계 토지피복지도현황
11230,14277374.160000004,965853.81,12159.930000000002,0.06764926093384666,0.0008516923254745044,static_reference,static_reference,,,direct,"[{""province_name"": ""서울특별시"", ""region_name"": ""동대문구"", ""weight"": 1.0}]",2024,2025년(2024년 기준) 국가토지피복통계 토지피복지도현황
11260,18537445.41,3529779.3,316223.20999999996,0.19041346970580234,0.017058618542413282,static_reference,static_reference,,,direct,"[{""province_name"": ""서울특별시"", ""region_name"": ""중랑구"", ""weight"": 1.0}]",2024,2025년(2024년 기준) 국가토지피복통계 토지피복지도현황
11290,24578799.45,7597943.129999999,87171.33,0.30912588490972853,0.003546606504411671,static_reference,static_reference,,,direct,"[{""province_name"": ""서울특별시"", ""region_name"": ""성북구"", ""weight"": 1.0}]",2024,2025년(2024년 기준) 국가토지피복통계 토지피복지도현황
11305,23638413.380000003,12620345.89,85079.45,0.5338914117086144,0.0035992030696943497,static_reference,static_reference,,,direct,"[{""province_name"": ""서울특별시"", ""region_name"": ""강북구"", ""weight"": 1.0}]",2024,2025년(2024년 기준) 국가토지피복통계 토지피복지도현황
11320,20705081.580000002,8857102.76,253910.54999999996,0.42777434736386094,0.012263199689358574,static_reference,static_reference,,,direct,"[{""province_name"": ""서울특별시"", ""region_name"": ""도봉구"", ""weight"": 1.0}]",2024,2025년(2024년 기준) 국가토지피복통계 토지피복지도현황
