region_id,province_name,region_name,demand_codes,note
11110,서울특별시,종로구,11110,
11140,서울특별시,중구,11140,
11170,서울특별시,용산구,11170,
11200,서울특별시,성동구,11200,
11215,서울특별시,광진구,11215,
11230,서울특별시,동대문구,11230,
11260,서울특별시,중랑구,11260,
11290,서울특별시,성북구,11290,
11305,서울특별시,강북구,11305,
11320,서울특별시,도봉구,11320,
11350,서울특별시,노원구,11350,
11380,서울특별시,은평구,11380,
11410,서울특별시,서대문구,11410,
11440,서울특별시,마포구,11440,
11470,서울특별시,양천구,11470,
11500,서울특별시,강서구,11500,
11530,서울특별시,구로구,11530,
11545,서울특별시,금천구,11545,
11560,서울특별시,영등포구,11560,
11590,서울특별시,동작구,11590,
11620,서울특별시,관악구,11620,
11650,서울특별시,서초구,11650,
11680,서울특별시,강남구,11680,
11710,서울특별시,송파구,11710,
11740,서울특별시,강동구,11740,
12110,전라남도,목포시,46110,개편으로 코드가 바뀜. 개편 전 코드 46110
12130,전라남도,여수시,46130,개편으로 코드가 바뀜. 개편 전 코드 46130
12150,전라남도,순천시,46150,개편으로 코드가 바뀜. 개편 전 코드 46150
12170,전라남도,나주시,46170,개편으로 코드가 바뀜. 개편 전 코드 46170
12190,전라남도,광양시,46230,개편으로 코드가 바뀜. 개편 전 코드 46230
12210,광주광역시,동구,29110,개편으로 코드가 바뀜. 개편 전 코드 29110
12240,광주광역시,서구,29140,개편으로 코드가 바뀜. 개편 전 코드 29140
12270,광주광역시,남구,29155,개편으로 코드가 바뀜. 개편 전 코드 29155
12300,광주광역시,북구,29170,개편으로 코드가 바뀜. 개편 전 코드 29170
12330,광주광역시,광산구,29200,개편으로 코드가 바뀜. 개편 전 코드 29200
12710,전라남도,담양군,46710,개편으로 코드가 바뀜. 개편 전 코드 46710
12720,전라남도,곡성군,46720,개편으로 코드가 바뀜. 개편 전 코드 46720
12730,전라남도,구례군,46730,개편으로 코드가 바뀜. 개편 전 코드 46730
12740,전라남도,고흥군,46770,개편으로 코드가 바뀜. 개편 전 코드 46770
12750,전라남도,보성군,46780,개편으로 코드가 바뀜. 개편 전 코드 46780
12760,전라남도,화순군,46790,개편으로 코드가 바뀜. 개편 전 코드 46790
12770,전라남도,장흥군,46800,개편으로 코드가 바뀜. 개편 전 코드 46800
12780,전라남도,강진군,46810,개편으로 코드가 바뀜. 개편 전 코드 46810
12790,전라남도,해남군,46820,개편으로 코드가 바뀜. 개편 전 코드 46820
12800,전라남도,영암군,46830,개편으로 코드가 바뀜. 개편 전 코드 46830
12810,전라남도,무안군,46840,개편으로 코드가 바뀜. 개편 전 코드 46840
12820,전라남도,함평군,46860,개편으로 코드가 바뀜. 개편 전 코드 46860
12830,전라남도,영광군,46870,개편으로 코드가 바뀜. 개편 전 코드 46870
12840,전라남도,장성군,46880,개편으로 코드가 바뀜. 개편 전 코드 46880
12850,전라남도,완도군,46890,개편으로 코드가 바뀜. 개편 전 코드 46890
12860,전라남도,진도군,46900,개편으로 코드가 바뀜. 개편 전 코드 46900
12870,전라남도,신안군,46910,개편으로 코드가 바뀜. 개편 전 코드 46910
26110,부산광역시,중구,26110,
26140,부산광역시,서구,26140,
26170,부산광역시,동구,26170,
26200,부산광역시,영도구,26200,
26230,부산광역시,부산진구,26230,
26260,부산광역시,동래구,26260,
26290,부산광역시,남구,26290,
26320,부산광역시,북구,26320,
26350,부산광역시,해운대구,26350,
26380,부산광역시,사하구,26380,
26410,부산광역시,금정구,26410,
26440,부산광역시,강서구,26440,
26470,부산광역시,연제구,26470,
26500,부산광역시,수영구,26500,
26530,부산광역시,사상구,26530,
26710,부산광역시,기장군,26710,
27110,대구광역시,중구,27110,
27140,대구광역시,동구,27140,
27170,대구광역시,서구,27170,
27200,대구광역시,남구,27200,
27230,대구광역시,북구,27230,
